category,features
'Restaurant' - Georgia - Taco Mac Woodstock,"Georgia, 34.084494, -84.5397291, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible car park, Alcohol, Coffee, Comfort food, Bar on site, Casual, Groups"
"'Restaurant' - Georgia - Alchemy, Games and Coffee Shoppe","Georgia, 31.526308, -83.8363571, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Texas - Los Barriles Mexican Restaurant,"Texas, 31.9077511, -106.6003502, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - California - Asian Momo House Food Truck,"California, 37.3526739, -122.031272, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - South Carolina - Heirloom - A Milltown Eatery,"South Carolina, 34.9423466, -81.9988358, Outdoor seating, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Groups"
'Restaurant' - Florida - Planet Smoothie,"Florida, 26.5298283, -80.0924617, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Healthy options, Kids' menu, Quick bite, Good for kids, Casual, College students"
'Thai restaurant' - Oklahoma - LARM THAI FUSION,"Oklahoma, 35.668929299999995, -97.5147594, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Thai restaurant' - Texas - ZAAP Kitchen of Casa Linda,"Texas, 32.8344309, -96.7020273, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Pizza restaurant' - North Carolina - Moondog Pizza,"North Carolina, 35.7434898, -81.6854649, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Restaurant' - California - Belcampo - San Mateo/Hillsdale,"California, 37.5392677, -122.3006336, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Texas - Uncle Nicky's Italian Specialties,"Texas, 30.2687166, -97.7283884, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Tennessee - Hopdoddy Burger Bar,"Tennessee, 36.1362727, -86.8010869, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Restaurant' - Florida - New World Brewery,"Florida, 28.0324123, -82.4524689, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Restaurant' - Arizona - Lakeside Grill Estrella,"Arizona, 33.355194, -112.429812, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Texas - Sparks Sweetshopbakery,"Texas, 31.6802895, -106.2433291, Takeout, Delivery, No, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Italian restaurant' - Texas - Paisano's authentic pizza,"Texas, 33.1831225, -97.7258581, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Italian restaurant' - Florida - Francesca's Italian Kitchen,"Florida, 27.6498508, -80.3558197, Curbside pickup, No-contact delivery, Takeout, Wheelchair accessible entrance, Beer, Comfort food, Kids' menu, Gender-neutral restroom, Casual, Family-friendly"
'Italian restaurant' - Tennessee - Olive Garden Italian Restaurant,"Tennessee, 35.9301427, -84.02787699999999, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Italian restaurant' - Georgia - Olive Garden Italian Restaurant,"Georgia, 33.4776368, -84.4387449, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Italian restaurant' - Arizona - Sauce Pizza & Wine,"Arizona, 33.4230546, -111.9380155, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, College students"
'Restaurant' - Florida - Açaí com Tapioca,"Florida, 26.3174628, -80.1480662, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, College students"
'Restaurant' - California - O-R Authentic Thai Cuisine,"California, 34.183495, -118.8876855, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - South Carolina - Mr.Egg O Little India,"South Carolina, 34.8539983, -82.35777829999999, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - California - La Moreña Mariscos,"California, 32.6455253, -117.0946933, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - Arkansas - SO FUN Vegan Food Truck,"Arkansas, 36.1362833, -94.1447812, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, College students"
'Restaurant' - Tennessee - The wing king,"Tennessee, 36.4174557, -89.0576839, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Pizza restaurant' - New Mexico - 550 Brewing & Pizza Parlor,"New Mexico, 36.8231379, -107.9949676, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Pizza restaurant' - Alabama - Pizza Express,"Alabama, 31.0055102, -86.3279173, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Beer, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Pizza restaurant' - North Carolina - Villa Amato,"North Carolina, 35.1205705, -82.93476, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Pizza restaurant' - Florida - Rocco's New York Style Pizza,"Florida, 29.3643689, -81.96910129999999, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Beer, Comfort food, Late-night food, Good for kids, Casual, Family-friendly"
'Restaurant' - California - Dumpling Monster,"California, 34.0901895, -118.3497247, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Tourists"
'Restaurant' - California - Los juniors mariscos,"California, 37.0135574, -121.5770241, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Pepper's Taqueria and Cantina,"Florida, 30.4207783, -86.65201689999999, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - New Mexico - Taqueria los patatuchi,"New Mexico, 35.0067655, -106.0554304, Takeout, Delivery, No, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - New Mexico - Elda's mexican kitchen,"New Mexico, 36.9245033, -107.904251, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - Tennessee - Speedy Burrito,"Tennessee, 36.2093257, -86.2966881, Takeaway, Dine-in, Delivery, Wheelchair-accessible car park, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family friendly"
'Mexican restaurant' - Tennessee - La Cabaña Mexican Restaurant,"Tennessee, 36.3434182, -88.85071549999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Good for kids, Casual, College students"
'Mexican restaurant' - Texas - El Emperador,"Texas, 30.0954498, -95.6195522, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Good for kids, Casual, Groups"
'Mexican restaurant' - Arizona - El Mesquite Taqueria,"Arizona, 32.8964291, -109.8279026, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Arizona - El Charrito Authentic Mexican Cuisine,"Arizona, 33.5388601, -112.1754758, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Happy-hour food, Good for kids, Casual, Groups"
"'Mexican restaurant' - Tennessee - El Mezcal Mexican Restaurant (Oakland, TN)","Tennessee, 35.2272342, -89.5314992, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Mexican restaurant' - Texas - Taqueria El Tapatio De Jalisco de Hortencia,"Texas, 29.3148952, -98.475962, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Good for kids, Casual, Groups"
'Restaurant' - Louisiana - Legends Verot,"Louisiana, 30.1387, -92.032113, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Restaurant' - Arizona - Supreme Lunch Break,"Arizona, 33.424982199999995, -111.9768512, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Restaurant' - Florida - Firefly Key West,"Florida, 24.551445, -81.8032455, Outdoor seating, Takeaway, Dine-in, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Restaurant' - Florida - 3 Pepper Burrito Company,"Florida, 26.4385546, -81.7688075, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Healthy options, Kids' menu, Quick bite, Good for kids, Casual, College students"
'Restaurant' - Georgia - AZN Sandwiches Bowls Juice Bar (Simple. Seasonal. Healthy),"Georgia, 33.375811299999995, -84.56466189999999, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, College students"
'Restaurant' - New Mexico - PJ and B’s Rio Cafe,"New Mexico, 32.4284009, -104.2178475, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Tennessee - Shotgun Willie's BBQ,"Tennessee, 36.2197192, -86.726891, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Beer, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Texas - Marketplace Cafe,"Texas, 30.9475848, -97.5374882, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Gender-neutral restroom, Casual, Family-friendly"
'Restaurant' - Georgia - Farmed Kitchen and Bar,"Georgia, 33.839361, -84.23866389999999, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Bar onsite, Casual, Groups"
'Restaurant' - Georgia - From the Farm @ The Dundee Cafe,"Georgia, 33.2640215, -84.2832851, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Coffee, Healthy options, Quick bite, Gender-neutral restroom, Casual, Family-friendly"
'Restaurant' - California - World Wrapps,"California, 37.7624211, -121.9599211, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - Georgia - Sakura Ramen Bar,"Georgia, 33.8029454, -84.4285908, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Comfort food, Late-night food, Quick bite, Bar onsite, Casual, Family-friendly"
'Restaurant' - Arkansas - Red Moon Tavern,"Arkansas, 34.8070144, -92.468193, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Pizza restaurant' - Texas - Milanos Restaurant,"Texas, 32.8369717, -96.4754255, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Pizza restaurant' - California - Mountain Mike's Pizza,"California, 36.5418326, -121.9061081, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - South Carolina - Tropical Grille Pelham Road,"South Carolina, 34.867360399999995, -82.3482906, Outdoor seating, Delivery, Takeaway, Wheelchair-accessible car park, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - California - Birrieria Gonzalez,"California, 34.0736111, -117.4366667, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Louisiana - Birria & Barbacoa de Chivo Los Compadre's,"Louisiana, 30.414109, -91.0668016, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - North Carolina - Tacontento,"North Carolina, 35.7846622, -80.8891637, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Mexican restaurant' - California - Cristi's Restaurant,"California, 33.8203255, -117.9936809, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - South Carolina - La Cienega Mexican Grill & Seafood,"South Carolina, 34.0065318, -81.1210512, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - Texas - Taqueria El Güero (De Nuevo Laredo),"Texas, 27.539505, -99.510202, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Late-night food, Good for kids, Casual, Groups"
'Mexican restaurant' - North Carolina - Los Jimadores,"North Carolina, 36.2131327, -80.3026859, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - Tennessee - Taqueria Vallarta,"Tennessee, 36.2021539, -86.6208656, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Arizona - Asafiir Restaurant and Market,"Arizona, 33.5206909, -112.1172404, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Halal food, Gender-neutral restroom, Casual, Family-friendly"
'Restaurant' - North Carolina - 13 Twenty Hickory Pub/ 1320 Pub,"North Carolina, 35.7454378, -81.30207329999999, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Tennessee - The DayMaker Cafe,"Tennessee, 36.0587774, -88.0969681, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - California - Epic Wings,"California, 33.8487428, -117.8888924, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Beer, Comfort food, Quick bite, Bar onsite, Casual, College students"
'Restaurant' - Arizona - Maria's,"Arizona, 31.853545, -110.9941411, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Bowl Thai & Sushi Restaurant,"Florida, 30.1891117, -81.74033709999999, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Georgia - Mithaas Indian Cuisine,"Georgia, 32.0020534, -81.28396219999999, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Restaurant' - Louisiana - Addis Nola,"Louisiana, 29.9621511, -90.0899002, Outdoor seating, No-contact delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Pizza restaurant' - Arizona - Brother's Pizza,"Arizona, 33.4953274, -112.2907901, No-contact delivery, Delivery, Takeaway, Wheelchair-accessible car park, Alcohol, Comfort food, Happy-hour food, Good for kids, Casual, Groups"
'Pizza restaurant' - Louisiana - Hungry Howie's Pizza,"Louisiana, 30.21379, -92.04816, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Late-night food, Quick bite, Good for kids, Casual, College students"
'Restaurant' - Arizona - Pinewood Bar & Grill,"Arizona, 34.9409299, -111.6505005, Curbside pickup, Takeaway, Dine-in, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Restaurant' - Arkansas - Applebee's Grill + Bar,"Arkansas, 36.1744866, -94.1741345, Delivery, Takeaway, Dine-in, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Casual, Groups"
'Mexican restaurant' - North Carolina - La Caridad Cocina Latina,"North Carolina, 35.2106204, -80.7572781, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Mexican restaurant' - Oklahoma - Mi Ranchito Tex Mex Restaurant,"Oklahoma, 34.0099952, -95.5142099, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - California - Taqueria Los Tres Amigos Inc.,"California, 34.0668782, -117.9730001, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - Oklahoma - QDOBA Mexican Eats,"Oklahoma, 35.4766245, -97.7483433, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family-friendly"
'Mexican restaurant' - Mississippi - Rio Grande Mexican restauran /Purvis ms,"Mississippi, 31.1454411, -89.40026689999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Texas - Taco Palenque Saratoga Blvd.,"Texas, 27.6845533, -97.3829231, Drive-through, Dine-in, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - Texas - Taqueria La Escondida,"Texas, 30.383006, -96.085192, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - North Carolina - La Casita Mexican Antojitos,"North Carolina, 36.0334714, -79.8656255, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - Alabama - Larkin's Restaurant & Deli,"Alabama, 32.4922317, -88.2886774, Takeout, Delivery, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - North Carolina - Starfish Grill,"North Carolina, 34.7261581, -76.9339141, Curbside pickup, Drive-through, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Family-friendly"
'Restaurant' - North Carolina - Mj's Raw Bar and Grille,"North Carolina, 35.1055512, -77.03994, Outdoor seating, Curbside pickup, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Restaurant' - California - Nossa Restaurant,"California, 34.1072714, -118.2872178, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Restaurant' - North Carolina - Legends Steakhouse,"North Carolina, 35.088665, -84.03454579999999, Curbside pickup, No-contact delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Restaurant' - Florida - Wolf's Steakhouse,"Florida, 26.0455913, -80.2610778, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - North Carolina - BILLFISH Grill & Bar,"North Carolina, 34.6874773, -76.8916875, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Groups"
'Restaurant' - Tennessee - Patriot Market & Cafe,"Tennessee, 35.2031275, -87.0296114, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - Florida - Smoothie Jungle Cafe (Coral Springs),"Florida, 26.272584, -80.2327957, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, College students"
'Pizza restaurant' - North Carolina - Saluda Whistle Stop Pizza & Wings,"North Carolina, 35.2466367, -82.3283004, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Bar onsite, Casual, Family-friendly"
'Pizza restaurant' - Louisiana - La Pizzeria Lafayette,"Louisiana, 30.170134, -92.063956, Outdoor seating, Curbside pickup, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, Family-friendly"
'Mexican restaurant' - Georgia - LOS CUATES MEXICAN TAQUERIA AND RESTAURANT,"Georgia, 34.1955242, -83.8573504, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Mexican restaurant' - Alabama - El Jalisco Mexican Grill LLC,"Alabama, 31.8934803, -85.14468699999999, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Mexican restaurant' - Arizona - La Planchada Taqueria,"Arizona, 34.541638, -112.4710315, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Mexican restaurant' - Mississippi - Don Tequilas Mexican Grill,"Mississippi, 34.9190374, -88.5140751, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Mexican restaurant' - Arizona - The Taco Spot,"Arizona, 33.3065389, -111.8308174, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, No"
'Mexican restaurant' - Texas - TIC-TACO RESTAURANT,"Texas, 32.7215145, -97.1156317, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Mexican restaurant' - Texas - Laredo Taco Company,"Texas, 33.2623655, -96.7842858, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, No"
'Mexican restaurant' - Arizona - Mucho Taco,"Arizona, 33.3189167, -111.8605239, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Alabama - Fiesta Mexicana,"Alabama, 34.8516775, -87.6902284, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, College students"
'Mexican restaurant' - Georgia - Las Tortas Locas #11,"Georgia, 33.8598254, -84.3086012, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Mexican restaurant' - Texas - La Regia,"Texas, 30.0105767, -95.514411, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Oklahoma - Los gallos grill,"Oklahoma, 36.07446, -95.8514463, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - Arkansas - La Familia Antojitos Mexicanos,"Arkansas, 34.6464767, -92.442398, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Bar onsite, Casual, Family-friendly"
'Mexican restaurant' - Georgia - Tabasco Mexican Grill,"Georgia, 34.127235299999995, -83.218051, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - North Carolina - El Patron Tacos And Tequila,"North Carolina, 35.1502753, -79.4205413, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - Georgia - Las Tortas Locas,"Georgia, 33.951075, -84.5303799, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - New Mexico - The Whole Enchilada,"New Mexico, 35.2049117, -106.648577, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Mississippi - La Perla Tapatia of Oxford,"Mississippi, 34.3604185, -89.5079306, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Good for kids, Casual, College students"
'Mexican restaurant' - Alabama - Taqueria Y Carniceria Plaza,"Alabama, 32.575846, -85.496971, No-contact delivery, Takeout, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Mexican restaurant' - Alabama - Taco Fiesta Street Tacos,"Alabama, 30.4025174, -87.6834568, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Mexican restaurant' - New Mexico - Las Palmas Grill at The Ramada Hotel,"New Mexico, 32.2829119, -106.7677888, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Bar onsite, Casual, Family-friendly"
'Mexican restaurant' - Texas - La Mesa Restaurant,"Texas, 32.4420055, -97.7911902, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - Texas - Hugo Mexican Grill & Cantina,"Texas, 32.5328542, -96.8120735, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Mexican restaurant' - California - Taqueria Mi Ranchito,"California, 36.6705102, -121.6264865, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Good for kids, Casual, Groups"
'Restaurant' - North Carolina - Captain Cooks Waterfront Restaurant,"North Carolina, 35.541047899999995, -77.0555402, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - California - Brahma Bar & Grill,"California, 38.6433834, -121.2705847, Outdoor seating, Curbside pickup, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Louisiana - Rosemary & Roux Cafe & Catering,"Louisiana, 29.9676016, -90.2298897, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
